오브젝트 아이디,시도명,공간정보
1,강원도,"SDE.ST_GEOMETRY(264,17636,927322.129,1995523.523,1076435.783,2157413.626,NULL,NULL,NULL,NULL,12498368370,848514.8458,19,'oracle.sql.BLOB@6fe02a43')"
2,개성직할시,"SDE.ST_GEOMETRY(264,2165,841569.2468,1957510.501,952743.0295,2025860.591,NULL,NULL,NULL,NULL,1912072932,279934.3639,19,'oracle.sql.BLOB@22ba15a9')"
3,남포직할시,"SDE.ST_GEOMETRY(264,6519,752654.0688,2069917.11,843303.951,2164536.85,NULL,NULL,NULL,NULL,1011952955,313795.7658,19,'oracle.sql.BLOB@79a80f62')"
4,양강도,"SDE.ST_GEOMETRY(8,15414,928400.8339,2267952.681,1130153.091,2455530.167,NULL,NULL,NULL,NULL,14634578500,1206394.081,19,'oracle.sql.BLOB@64ca6746')"
5,자강도,"SDE.ST_GEOMETRY(8,8403,826826.7715,2221409.288,1001283.322,2407735.727,NULL,NULL,NULL,NULL,16024734780,747540.6273,19,'oracle.sql.BLOB@a16fbae')"
6,평안남도,"SDE.ST_GEOMETRY(8,12893,793237.1663,2081861.914,972750.8685,2260916.985,NULL,NULL,NULL,NULL,11794260460,1037457.262,19,'oracle.sql.BLOB@78f3a018')"
7,평안북도,"SDE.ST_GEOMETRY(264,53711,714084.6619,2162597.343,903489.5146,2298569.669,NULL,NULL,NULL,NULL,12563758128,1162063.158,19,'oracle.sql.BLOB@4199637b')"
8,평양특별시,"SDE.ST_GEOMETRY(8,3947,828503.0128,2078324.439,906745.2214,2143473.381,NULL,NULL,NULL,NULL,2669862449,363521.0594,19,'oracle.sql.BLOB@76dedc59')"
9,함경남도,"SDE.ST_GEOMETRY(264,30343,927927.6622,2133794.426,1140996.912,2354340.707,NULL,NULL,NULL,NULL,18524005712,1389040.229,19,'oracle.sql.BLOB@4b2892a7')"
10,함경북도,"SDE.ST_GEOMETRY(264,53784,1111375.479,2286737.891,1263621.035,2558951.785,NULL,NULL,NULL,NULL,16643006668,1277533.534,19,'oracle.sql.BLOB@2e3e08ba')"
11,황해남도,"SDE.ST_GEOMETRY(264,39484,746120.6796,1960701.701,907158.7339,2082263.644,NULL,NULL,NULL,NULL,8648597329,1644212.521,19,'oracle.sql.BLOB@24b624bd')"
12,황해북도,"SDE.ST_GEOMETRY(8,6382,835637.9851,2002279.222,959072.581,2130540.061,NULL,NULL,NULL,NULL,8053675458,715504.9492,19,'oracle.sql.BLOB@240a1866')"
