오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
1,1000000385032G00110000000000100447,낙랑구역,"SDE.ST_GEOMETRY(8,470,834773.7737,2101546.379,851344.713,2112730.248,NULL,NULL,NULL,NULL,96973284.37,52622.20083,19,'oracle.sql.BLOB@686befc1')"
2,1000000385033G00110000000000100461,대한구역,"SDE.ST_GEOMETRY(8,425,821933.0694,2082144.964,835741.6224,2098131.311,NULL,NULL,NULL,NULL,87304971.54,55600.73399,19,'oracle.sql.BLOB@3960e4fe')"
3,1000000375012G00110000000000100590,옹진군,"SDE.ST_GEOMETRY(264,12201,746120.6796,1957510.501,843425.6039,2009527.913,NULL,NULL,NULL,NULL,728212044.2,498202.3067,19,'oracle.sql.BLOB@3e704d5c')"
4,1000000375033G00110000000000100595,강령군,"SDE.ST_GEOMETRY(264,11456,787084.663,1966353.302,848262.0533,2002821.075,NULL,NULL,NULL,NULL,522651742.3,420994.8098,19,'oracle.sql.BLOB@65729aae')"
5,1000000375042G00110000000000100577,청단군,"SDE.ST_GEOMETRY(264,2858,849888.4622,1974188.655,873016.0524,2020362.033,NULL,NULL,NULL,NULL,475062034.9,206083.2649,19,'oracle.sql.BLOB@52507426')"
6,1000000376011G00110000000000100585,연안군,"SDE.ST_GEOMETRY(8,1123,864473.9593,1973070.211,888339.9041,2011414.081,NULL,NULL,NULL,NULL,524169535.1,132726.6622,19,'oracle.sql.BLOB@6c293d86')"
7,1000000376021G00110000000000100583,배천군,"SDE.ST_GEOMETRY(8,663,878869.4658,1980876.925,904656.8236,2012312.031,NULL,NULL,NULL,NULL,512146832.4,114671.9772,19,'oracle.sql.BLOB@500f97f2')"
8,1000000376023G00110000000000100619,인천광역시,"SDE.ST_GEOMETRY(8,163,884273.5198,1972983.985,908854.5865,1984874.995,NULL,NULL,NULL,NULL,173573151.5,61634.08151,19,'oracle.sql.BLOB@21d9c0b7')"
9,1000000376023G00110000000000100675,삼산면,"SDE.ST_GEOMETRY(8,13,890947.3348,1972895.92,897834.8237,1974575.976,NULL,NULL,NULL,NULL,5306025.887,15091.35843,19,'oracle.sql.BLOB@707961ee')"
10,1000000376024G00110000000000100643,송해면,"SDE.ST_GEOMETRY(8,173,905749.7121,1972766.197,910984.2081,1980621.226,NULL,NULL,NULL,NULL,26926317.11,24243.29443,19,'oracle.sql.BLOB@5519b76a')"
11,1000000376024G00110000000000100655,강화읍,"SDE.ST_GEOMETRY(8,66,908884.5097,1972708.756,914233.6343,1979054.895,NULL,NULL,NULL,NULL,16853933.88,21998.05275,19,'oracle.sql.BLOB@79050a3c')"
12,1000000376024G00110000000000100665,하점면,"SDE.ST_GEOMETRY(8,195,897032.7825,1972788.715,907804.3727,1977421.332,NULL,NULL,NULL,NULL,34470389.35,28750.5425,19,'oracle.sql.BLOB@16b6b1d3')"
13,1000000376031G00110000000000100580,개성특급시,"SDE.ST_GEOMETRY(8,1040,910873.4069,1981648.382,929075.2573,2016478.042,NULL,NULL,NULL,NULL,280309063.6,106292.3738,19,'oracle.sql.BLOB@2dfbc4fa')"
14,1000000376032G00110000000000100602,군내면,"SDE.ST_GEOMETRY(8,235,927053.778,1988406.904,936249.7034,1997838.445,NULL,NULL,NULL,NULL,42884333.38,38968.5288,19,'oracle.sql.BLOB@35c194c8')"
15,1000000376031G00110000000000100592,개풍군,"SDE.ST_GEOMETRY(8,582,901691.265,1973973.769,927405.9739,2007313.845,NULL,NULL,NULL,NULL,448600706.6,107551.8196,19,'oracle.sql.BLOB@64442ca6')"
16,1000000376032G00110000000000100593,판문군,"SDE.ST_GEOMETRY(8,422,924057.4606,1993304.793,933994.3983,2006085.829,NULL,NULL,NULL,NULL,64235508.24,41281.41004,19,'oracle.sql.BLOB@475f21d4')"
