fid,tile_id,country_iso3,admin1_code,admin1_name_ko,admin1_name_en,area_km2,land_ratio,is_coastal,center_x,center_y,neighbor_ids,population,city_name_ko,city_name_en,city_class,is_capital,map_class,tile_name_code,tile_name_ko,tile_name_en,tile_name_method,tile_name_population,tile_name_overlap_km2,tile_name_previous_code,tile_name_previous_population,district_slots,district_1,district_2,district_3,primary_industry,terrain,source_year,manual_override,assignment_method,overlap_km2,assignment_score
1,KOR_P_R100021_C100014,KOR,KR-49,제주,Jeju,605.2099867281504,0.6223348232276651,True,883314.9247693752,1480770.325,"[""KOR_P_R100021_C100015""]",NULL,NULL,NULL,NULL,False,KR-49,KR-49:jeju,제주,Jeju,dominant_overlap,488844,197.50487208250237,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,376.643250106081,0.6223348232276651
2,KOR_P_R100021_C100015,KOR,KR-49,제주,Jeju,605.2099867281504,0.8559128486854913,True,909750.4368224356,1480770.325,"[""KOR_P_R100021_C100014"",""KOR_P_R100022_C100016""]",NULL,NULL,NULL,NULL,False,KR-49,KR-49:seogwipo,서귀포,Seogwipo,dominant_overlap,180909,355.0881326882367,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,518.0070037933996,0.8559128486854913
3,KOR_P_R100022_C100016,KOR,KR-49,제주,Jeju,605.2099867281504,0.6254492952862789,True,922968.1928489658,1503664.15,"[""KOR_P_R100021_C100015""]",NULL,NULL,NULL,NULL,False,KR-49,KR-49:jeju,제주,Jeju,dominant_overlap,488844,363.75615954221917,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,378.5281596993399,0.6254492952862789
4,KOR_P_R100026_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281504,0.5179785417136126,True,922968.1928489658,1595239.45,"[""KOR_P_R100027_C100015"",""KOR_P_R100027_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:haenam,해남,Haenam,dominant_overlap,87956,169.1846513051448,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,313.48578635596215,0.5179785417136126
5,KOR_P_R100027_C100015,KOR,KR-46,전남,Jeonnam,605.2099867281541,0.7030431504570102,True,909750.4368224356,1618133.275,"[""KOR_P_R100026_C100016"",""KOR_P_R100027_C100016"",""KOR_P_R100028_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:haenam,해남,Haenam,dominant_overlap,87956,484.8356902594433,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,425.48873575740686,0.7030431504570102
6,KOR_P_R100027_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281532,0.8553809221672285,True,936185.9488754959,1618133.275,"[""KOR_P_R100026_C100016"",""KOR_P_R100027_C100015"",""KOR_P_R100028_C100016"",""KOR_P_R100028_C100017""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:gangjin,강진,Gangjin,dominant_overlap,49254,319.6896395841551,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,517.6850765523438,0.8553809221672285
7,KOR_P_R100027_C100018,KOR,KR-46,전남,Jeonnam,605.2099867281552,0.5675824464685407,True,989056.9729816167,1618133.275,"[""KOR_P_R100028_C100018""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:goheung,고흥,Goheung,dominant_overlap,84023,400.6633137762599,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,343.50656489435937,0.5675824464685407
8,KOR_P_R100028_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281504,0.9035276276558502,True,922968.1928489658,1641027.0999999999,"[""KOR_P_R100027_C100015"",""KOR_P_R100027_C100016"",""KOR_P_R100028_C100017"",""KOR_P_R100029_C100015"",""KOR_P_R100029_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:yeongam,영암,Yeongam,dominant_overlap,65268,414.4025081047611,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,546.8239435421143,0.9035276276558502
9,KOR_P_R100028_C100017,KOR,KR-46,전남,Jeonnam,605.2099867281513,1.000000000000003,False,949403.7049020261,1641027.0999999999,"[""KOR_P_R100027_C100016"",""KOR_P_R100028_C100016"",""KOR_P_R100029_C100016"",""KOR_P_R100029_C100017""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:jangheung,장흥,Jangheung,dominant_overlap,53392,359.94815333207913,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281532,1.000000000000003
10,KOR_P_R100028_C100018,KOR,KR-46,전남,Jeonnam,605.2099867281523,0.7885359317228188,True,975839.2169550866,1641027.0999999999,"[""KOR_P_R100027_C100018"",""KOR_P_R100029_C100018""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:boseong,보성,Boseong,dominant_overlap,61329,313.7508573476486,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,477.22982077263833,0.7885359317228188
11,KOR_P_R100029_C100015,KOR,KR-46,전남,Jeonnam,605.2099867281541,0.8867364422431132,True,909750.4368224356,1663920.9249999998,"[""KOR_P_R100028_C100016"",""KOR_P_R100029_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:muan,무안,Muan,dominant_overlap,75718,272.874520055858,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,536.6617504413252,0.8867364422431132
12,KOR_P_R100029_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281532,1.0000000000000016,False,936185.9488754959,1663920.9249999998,"[""KOR_P_R100028_C100016"",""KOR_P_R100028_C100017"",""KOR_P_R100029_C100015"",""KOR_P_R100029_C100017""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:naju,나주,Naju,dominant_overlap,116891,393.6828523375125,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281541,1.0000000000000016
